라하,175,61
하사,183,99
가마,165,98
카마,162,74
파마,170,96
나아,152,83
하타,166,60
다파,200,59
라자,167,76
나마,195,93
타라,161,87
나카,157,87
타가,197,96
아자,162,63
카다,197,98
자나,164,85
마자,166,79
바자,153,73
가자,176,85
차라,153,85
가하,193,61
카아,199,59
하하,176,80
타가,171,69
사카,157,74
가차,165,83
카마,200,76
아파,172,73
라사,169,70
라가,162,82
타바,180,73
가차,185,74
나라,164,82
마사,170,89
다바,191,72
타라,151,78
자카,180,63
하타,197,78
파라,196,70
바파,159,99
차아,152,57
카타,197,57
마라,161,76
하나,198,53
파카,160,50
바카,195,56
아라,184,63
아차,191,80
차아,198,76
파자,189,70
타타,194,71
라다,158,100
마카,169,58
타카,164,99
하하,170,64
나사,185,80
가아,162,87
사바,167,53
사자,198,72
하자,163,88
타사,182,66
카사,151,68
카타,159,92
자카,175,76
파가,167,71
자타,198,52
라자,195,68
아라,171,97
사하,189,52
타나,156,67
차하,173,73
타다,170,64
라카,176,65
가라,193,65
다파,153,66
자바,168,78
차차,196,86
바가,179,85
자파,160,58
카하,163,53
나아,151,55
차타,168,92
자아,198,85
아카,173,73
나다,152,67
다사,187,63
파카,174,82
파차,171,72
차바,163,78
카차,160,53
가자,181,57
파사,183,71
하타,169,83
바나,185,62
라마,187,73
마사,155,75
바카,179,52
아사,171,54
나하,158,87
차나,154,86
카라,150,71
다다,194,96
카타,183,93
아타,176,95
가바,153,89
라가,164,86
차아,170,87
다바,186,84
다가,163,60
마파,158,57
라사,150,65
가차,157,88
파라,192,83
나바,197,54
바아,153,86
사나,187,62
파다,184,54
마자,178,58
다바,164,74
바카,174,89
차차,190,63
타나,169,94
파아,153,71
나라,153,57
차라,162,72
사카,159,52
아라,153,54
다사,179,97
나라,192,86
카라,152,58
하카,159,66
사라,192,69
자아,178,89
바가,166,64
타다,155,96
마파,165,96
카가,193,77
타파,195,72
타하,185,85
사차,167,96
하사,179,78
마자,199,77
아라,152,61
나다,155,70
하카,168,70
카하,163,54
차다,184,56
하사,197,92
다자,191,65
바카,187,91
가라,190,94
카파,200,91
바바,173,74
가나,195,85
다마,157,99
자바,162,67
타다,195,84
타아,159,92
차자,194,89
타라,154,50
타차,193,100
파차,193,100
타자,150,69
아타,184,65
라나,169,61
라가,175,93
가사,192,69
차라,172,55
하바,194,67
사카,158,92
가나,185,94
다가,158,97
타사,195,78
바타,159,90
다라,196,53
타다,156,86
나파,165,66
바마,189,97
나타,159,87
사아,166,85
자카,194,94
가바,158,76
차차,187,90
자차,191,83
자카,165,87
아차,186,89
차파,174,83
타마,150,86
라카,160,70
다다,175,51
다파,186,81
사라,156,75
타차,181,91
차라,172,70
차자,158,99
사차,190,66
아카,152,81
카라,196,63
다아,190,95
아카,180,99
아나,152,51
하차,170,50
가자,152,97
아다,187,75
차라,157,50
타자,179,85
라마,163,79
라다,196,89
아하,166,57
라아,164,50
나아,188,73
마하,197,52
다나,195,93
파바,181,97
카차,189,78
자다,162,88
카파,189,74
사가,183,67
바아,198,91
차하,171,71
사파,165,76
카나,193,55
파파,156,80
파파,197,83
차차,160,57
사바,197,85
하다,158,81
라자,168,78
사타,161,93
마자,156,84
하타,198,85
마카,176,65
라차,193,74
파바,197,55
라아,158,92
아바,199,53
가나,163,82
마자,193,62
사다,180,53
파파,170,71
사다,168,64
다다,185,97
다마,187,92
라다,190,50
자카,196,58
다하,152,85
파아,170,89
마바,173,90
바사,185,95
나파,175,96
다라,166,80
자타,196,78
파라,192,60
타카,167,58
하파,167,76
다파,197,79
차카,195,82
하차,181,83
다자,154,71
마사,196,50
타파,183,97
하아,168,85
하파,151,81
카나,178,50
카다,157,86
차차,177,91
라카,195,53
하사,171,83
가마,197,61
라라,193,73
파아,188,50
사하,158,52
바타,161,79
라하,159,72
가나,193,80
라사,180,71
마아,160,61
카다,183,70
마타,150,57
자사,196,66
카아,197,56
아바,199,84
사자,191,85
사다,174,81
자마,154,64
바가,195,99
하마,167,77
파하,171,81
가아,180,62
사사,195,51
카차,182,92
사아,176,52
차카,168,98
카마,190,60
마아,190,60
다하,187,88
다다,198,92
하다,185,53
하아,200,52
파차,151,89
차하,170,100
타아,160,51
타다,171,50
마나,193,92
파마,185,64
사타,158,69
바하,174,95
파파,156,99
차차,167,98
사하,177,53
카타,151,94
타라,200,57
카사,195,58
다마,174,85
차타,200,72
바차,195,86
차자,185,68
차카,170,96
자다,167,89
타바,162,76
아자,198,90
자바,153,54
사자,183,80
라타,174,100
차가,197,64
가차,165,54
라카,158,97
차하,199,71
가가,193,79
아마,189,71
파차,183,87
카바,180,89
카파,199,63
바하,169,70
타사,172,81
카라,182,84
파라,165,54
파다,169,58
타가,188,61
마하,182,98
파가,178,90
바파,179,76
가마,182,93
바타,167,78
다아,165,96
나자,151,98
가다,151,64
가카,152,69
라타,151,54
타가,179,71
자아,183,55
아아,169,64
하아,196,65
다타,177,50
라가,164,67
카사,164,100
나마,169,68
자파,163,53
파카,179,89
바아,150,81
카하,162,85
자사,197,58
아나,162,98
자다,163,72
다자,173,79
가라,170,51
아바,171,71
마파,176,97
나바,174,67
자차,185,90
마하,152,86
파타,178,74
카자,199,83
파마,200,73
하나,191,97
차나,195,93
라카,193,66
타가,192,89
바아,186,83
바나,156,85
마차,162,50
자마,182,61
가카,165,52
라사,198,79
나다,165,81
나바,191,87
아사,196,71
나나,186,95
자가,165,54
바마,182,50
타파,168,88
마마,171,60
마차,163,82
아가,197,68
다하,198,51
다자,151,96
다사,200,86
파나,151,71
다마,157,88
카나,155,63
바바,170,62
하타,175,81
파마,195,53
자마,153,64
차마,178,90
마아,184,78
가라,199,56
사가,154,69
가가,180,82
나나,157,64
차라,193,90
파사,195,70
자라,181,72
바파,165,73
다파,200,88
라타,183,68
파마,159,96
나다,151,98
다자,188,68
바가,150,79
사라,194,51
하파,150,53
바자,152,52
바타,186,53
라마,152,76
카자,162,76
카하,190,93
마다,163,82
다라,164,79
사가,158,54
아라,185,60
나파,169,99
다아,197,58
라사,175,62
자타,158,61
아하,188,76
마아,163,63
다파,173,54
다자,153,60
자카,154,62
나바,161,79
마가,157,70
마바,198,87
하사,197,81
라차,160,81
나파,197,80
타마,197,64
라카,162,98
바차,151,99
나하,185,74
마파,187,68
나다,189,62
차가,157,60
하바,171,54
바마,191,73
파바,166,82
자카,172,85
다사,165,68
하사,150,65
카사,198,94
타나,163,97
라타,189,69
마라,158,61
타차,160,97
사파,190,71
사바,187,94
하가,194,91
자다,155,56
다타,185,60
가하,165,56
바가,200,62
사카,198,82
파자,189,68
마카,189,93
타하,168,90
타차,158,67
하하,177,69
타사,193,94
파사,178,71
카라,181,94
사나,156,83
바마,183,80
라마,182,91
카자,150,78
가나,179,68
다마,184,86
하아,152,95
타차,185,81
가사,163,67
나마,200,57
바라,150,97
카라,186,69
카라,163,71
가차,197,90
차나,162,64
하카,155,68
라하,179,95
바가,181,68
파나,197,69
하나,181,78
자가,164,83
마차,175,97
타차,195,72
하파,173,96
타파,190,95
나라,161,87
카사,186,91
자마,160,70
마파,167,88
마마,192,77
하타,171,90
바라,193,61
라차,157,63
마카,166,76
자가,157,79
아바,171,82
카가,185,75
다파,179,58
나마,186,52
아하,178,50
다라,154,97
타카,195,80
바나,172,84
카카,168,51
타라,157,83
자마,155,99
사마,184,95
카타,181,50
자차,161,100
나라,184,90
라하,168,95
차가,189,67
바마,195,72
자차,193,88
마라,167,91
나다,155,89
카마,173,66
나마,184,75
자다,159,72
바다,182,68
다자,176,57
차카,171,61
사가,159,76
파사,165,81
가라,160,90
자나,163,67
바카,155,99
가차,189,61
마사,175,91
타가,192,68
카라,166,97
하아,191,93
다아,174,62
나나,163,92
하카,161,81
자다,178,52
카사,185,98
카마,170,91
바사,179,86
사파,158,62
타마,155,88
차차,154,79
하가,152,90
타라,181,68
파바,192,90
마차,176,53
바바,154,93
하타,194,61
마자,173,86
파가,155,50
카자,189,71
가사,197,65
파다,182,69
타하,153,85
라카,162,85
아카,169,88
자바,192,52
마하,197,52
자라,172,57
파카,193,64
가타,177,76
나타,180,50
아카,155,84
사다,184,93
아사,200,80
타차,168,84
카타,154,85
타아,195,54
카차,187,88
하타,159,68
라라,163,53
타사,171,99
타파,170,52
나라,186,59
카카,192,68
아파,163,70
아차,188,84
카아,157,55
파아,158,70
자마,171,93
아다,167,50
바라,181,80
다라,180,63
나바,185,71
사파,186,63
타아,182,95
라차,188,60
카차,181,99
다아,173,91
바타,183,94
바하,152,55
라라,157,68
자카,173,51
가자,193,70
다하,166,96
타아,191,88
카다,192,55
마파,173,66
라다,199,57
하사,192,93
사라,154,73
아카,160,87
바사,176,70
하바,163,91
가다,155,65
사아,173,61
마사,196,89
아파,187,98
차파,174,94
아마,185,59
카사,176,83
사파,169,88
나자,167,75
다라,162,97
나차,197,94
가나,175,76
사나,200,81
아파,156,88
사하,163,68
라자,172,91
아가,162,87
자마,198,99
하파,150,97
차카,194,88
타나,154,97
카하,181,79
하카,192,77
라하,152,90
하나,187,77
바마,171,50
아바,185,56
파나,200,68
타하,152,83
하파,176,98
자나,156,90
자라,185,59
바마,151,53
가파,199,60
다사,152,83
다차,150,66
파카,154,86
자마,186,97
타라,192,62
아사,161,80
바가,155,85
가카,165,53
사다,167,88
아파,150,100
사카,166,90
하하,152,99
사사,157,88
사마,198,88
차파,199,94
차타,161,59
카다,157,65
다아,184,50
가파,173,100
하바,184,80
차카,179,62
가가,176,91
파사,170,66
사라,172,72
아나,190,50
나마,161,65
사가,179,98
타하,175,71
나차,152,87
아카,196,53
마사,155,54
라차,151,89
다마,175,85
라사,152,61
사차,183,71
자아,153,79
자차,151,85
차차,188,86
사카,166,59
아타,171,95
나가,158,98
카가,191,70
하차,174,88
바나,162,60
파라,162,73
가바,160,58
마차,198,100
타사,161,51
마파,166,63
자자,178,51
바다,200,88
카사,199,54
나바,151,58
사사,155,92
다다,188,66
바자,171,92
마다,190,100
하가,179,77
나하,197,98
카사,163,51
타차,170,88
차자,163,99
하차,166,63
사카,165,91
파나,171,58
라사,167,91
아아,162,83
사차,182,69
나차,162,69
차다,193,68
차차,183,57
마파,187,94
사차,177,92
라하,154,72
다하,150,56
바라,156,65
마라,178,89
하자,163,81
라타,174,92
나바,161,81
나다,163,59
라마,168,86
다가,196,72
다타,200,79
